Rk,Player,Age,Tm,Pos,G,GS,MP,FG%,Dist.,% of FGA by Distance_2P,% of FGA by Distance_0-3,% of FGA by Distance_3-10,% of FGA by Distance_10-16,% of FGA by Distance_16-3P,% of FGA by Distance_3P,FG% by Distance_2P,FG% by Distance_0-3,FG% by Distance_3-10,FG% by Distance_10-16,FG% by Distance_16-3P,FG% by Distance_3P,% of FG Ast'd_2P,% of FG Ast'd_3P,Dunks_%FGA,Dunks_#,Corner 3s_%3PA,Corner 3s_3P%,Heaves_Att.,Heaves_Md.,Awards
237.0,Marco Belinelli,23.0,TOR,SG,66.0,1.0,1121.0,0.406,17.2,0.583,0.227,0.079,0.029,0.248,0.417,0.425,0.558,0.333,0.273,0.351,0.38,0.66,0.717,0.018,7.0,0.342,0.426,8.0,0.0,0
238.0,Earl Boykins,33.0,WAS,PG,67.0,1.0,1117.0,0.427,14.1,0.851,0.124,0.146,0.256,0.323,0.149,0.446,0.64,0.407,0.495,0.354,0.317,0.17,0.737,0.0,0.0,0.233,0.214,0.0,0.0,0
239.0,Larry Hughes,31.0,2TM,SG,45.0,16.0,1115.0,0.355,16.6,0.64,0.207,0.067,0.096,0.269,0.36,0.381,0.513,0.346,0.297,0.317,0.309,0.404,0.977,0.005,2.0,0.309,0.442,1.0,0.0,0
239.0,Larry Hughes,31.0,NYK,SG,31.0,14.0,820.0,0.366,15.5,0.652,0.229,0.068,0.1,0.254,0.348,0.407,0.531,0.368,0.25,0.366,0.289,0.297,0.964,0.004,1.0,0.268,0.385,0.0,0.0,0
239.0,Larry Hughes,31.0,CHA,SG,14.0,2.0,295.0,0.327,17.7,0.607,0.15,0.065,0.084,0.308,0.393,0.308,0.438,0.286,0.444,0.212,0.357,0.8,1.0,0.009,1.0,0.405,0.529,1.0,0.0,0
240.0,Nate Robinson,25.0,2TM,PG,56.0,2.0,1115.0,0.436,17.5,0.548,0.217,0.059,0.061,0.211,0.452,0.474,0.495,0.414,0.467,0.471,0.39,0.344,0.667,0.008,4.0,0.099,0.409,2.0,0.0,0
240.0,Nate Robinson,25.0,NYK,PG,30.0,2.0,733.0,0.452,16.2,0.595,0.244,0.071,0.045,0.235,0.405,0.505,0.537,0.417,0.6,0.481,0.375,0.307,0.725,0.009,3.0,0.103,0.357,2.0,0.0,0
240.0,Nate Robinson,25.0,BOS,PG,26.0,0.0,382.0,0.401,18.8,0.446,0.159,0.032,0.096,0.159,0.554,0.386,0.36,0.4,0.333,0.44,0.414,0.481,0.583,0.006,1.0,0.092,0.5,0.0,0.0,0
241.0,Trenton Hassell,30.0,NJN,SF,52.0,31.0,1106.0,0.411,11.4,0.977,0.329,0.091,0.078,0.479,0.023,0.421,0.583,0.2,0.294,0.371,0.0,0.578,0.0,0.014,3.0,0.2,0.0,0.0,0.0,0
242.0,Zaza Pachulia,25.0,ATL,C,78.0,1.0,1089.0,0.488,6.2,0.984,0.614,0.122,0.093,0.154,0.016,0.496,0.55,0.3,0.348,0.526,0.0,0.667,0.0,0.053,11.0,0.0,0.0,3.0,0.0,0
243.0,Marcin Gortat,25.0,ORL,C,81.0,0.0,1088.0,0.533,4.1,0.987,0.604,0.238,0.115,0.031,0.013,0.54,0.635,0.519,0.154,0.286,0.0,0.793,0.0,0.141,31.0,0.0,0.0,0.0,0.0,0
244.0,Toney Douglas,23.0,NYK,PG,56.0,12.0,1087.0,0.458,15.6,0.552,0.289,0.056,0.064,0.143,0.448,0.514,0.575,0.5,0.44,0.429,0.389,0.315,0.588,0.005,2.0,0.189,0.485,3.0,0.0,0
245.0,Daniel Gibson,23.0,CLE,PG,56.0,10.0,1068.0,0.466,19.3,0.444,0.116,0.063,0.049,0.216,0.556,0.454,0.548,0.412,0.538,0.397,0.477,0.556,0.944,0.0,0.0,0.322,0.417,0.0,0.0,0
246.0,Devin Brown,31.0,2TM,SG,50.0,37.0,1060.0,0.377,16.2,0.546,0.28,0.08,0.053,0.133,0.454,0.396,0.554,0.276,0.105,0.25,0.354,0.551,0.862,0.014,5.0,0.159,0.385,0.0,0.0,0
